,DiscordID,Date Founded
10472,0,2014-12-12 20:57:16
10473,0,2014-12-12 21:15:22
13877,0,2015-03-18 08:46:47
17243,0,2015-04-27 22:52:57
17362,0,2015-04-29 20:13:11
18254,0,2015-05-19 19:45:53
46495,0,2016-09-06 20:33:38
49183,0,2016-10-09 02:55:49
49689,0,2016-10-15 03:15:07
51844,0,2016-11-06 02:43:21
53361,0,2016-11-19 20:45:15
62729,0,2017-03-17 03:42:19
131307,0,2018-08-07 00:12:12
134903,0,2018-09-10 23:06:13
139003,0,2018-10-19 19:45:16
143045,0,2018-11-28 16:47:19
181050,0,2019-10-07 13:37:45
184419,0,2019-11-06 02:52:44
192020,0,2020-02-07 10:09:02
192869,0,2020-02-23 22:10:04
194518,0,2020-03-11 01:00:01
195283,0,2020-03-20 01:05:11
195500,0,2020-03-22 21:48:55
199688,0,2020-04-16 01:25:40
199768,0,2020-04-17 18:30:00
200930,0,2020-04-21 19:43:48
201369,0,2020-04-22 20:15:12
202158,0,2020-04-25 15:26:41
203112,0,2020-04-30 10:49:06
203193,0,2020-04-30 19:50:19
204024,0,2020-05-06 23:13:53
204658,0,2020-05-09 23:48:59
211697,0,2020-05-12 04:41:00
215172,0,2020-05-17 05:39:47
215537,0,2020-05-18 08:20:46
230240,0,2020-07-09 04:22:57
231171,0,2020-07-11 04:45:50
231632,0,2020-07-12 12:48:18
201352,0,2020-07-21 18:20:14
234483,0,2020-07-22 14:30:23
234790,0,2020-07-24 03:48:42
242529,0,2020-09-11 03:16:07
248902,0,2020-10-28 13:38:42
253113,0,2020-11-15 23:01:19
253111,0,2020-11-16 03:57:31
253987,0,2020-11-20 01:40:31
260707,0,2020-12-25 03:50:46
261030,0,2020-12-26 22:01:20
263385,0,2021-01-08 18:32:49
266530,0,2021-01-22 22:22:45
266950,0,2021-01-24 22:37:53
274637,0,2021-02-28 00:18:22
277189,0,2021-03-06 07:10:51
277678,0,2021-03-07 19:36:53
280173,0,2021-03-13 01:57:28
282251,0,2021-03-17 00:11:41
282759,0,2021-03-17 20:10:37
284431,0,2021-03-20 02:53:34
289521,0,2021-03-28 14:16:54
289957,0,2021-03-29 05:31:53
289998,0,2021-03-29 09:25:47
290198,0,2021-03-29 20:45:45
290964,0,2021-03-30 22:58:44
292316,0,2021-04-02 08:33:34
292987,0,2021-04-03 12:23:06
294933,0,2021-04-06 19:55:55
294937,0,2021-04-06 20:08:24
295645,0,2021-04-08 00:59:36
295910,0,2021-04-08 15:04:04
296038,0,2021-04-08 19:49:10
297096,0,2021-04-10 22:31:57
297146,0,2021-04-11 00:03:38
297365,0,2021-04-11 13:26:29
298749,0,2021-04-14 05:54:29
299221,0,2021-04-15 04:49:34
299776,0,2021-04-16 10:36:14
300123,0,2021-04-17 02:18:35
300490,0,2021-04-17 20:50:34
300510,0,2021-04-17 21:51:27
300980,0,2021-04-18 20:03:27
301363,0,2021-04-19 20:46:23
304172,0,2021-04-25 14:29:06
304266,0,2021-04-25 18:54:37
305477,0,2021-04-28 08:50:40
305579,0,2021-04-28 15:06:23
306401,0,2021-04-30 06:17:30
306649,0,2021-04-30 19:19:38
